148. 	35700 	Trine 	7,651 	308 	95.62% 	96.13%
149. 	265890 	Hexcells 	2,740 	100 	95.62% 	96.48%
150. 	70300 	VVVVVV 	5,915 	234 	95.61% 	96.19%
151. 	224820 	Super House of Dead Ninjas 	1,064 	33 	95.60% 	96.99%
152. 	461840 	Zenge 	1,560 	53 	95.57% 	96.71%
153. 	353270 	Hyperdimension Neptunia Re;Birth3 V Generation 	1,908 	67 	95.57% 	96.61%
154. 	318130 	Doom & Destiny 	1,132 	36 	95.57% 	96.92%
155. 	428080 	Racket: Nx 	185 	2 	95.55% 	98.93%
156. 	346010 	Besiege 	20,331 	879 	95.54% 	95.86%
157. 	265610 	Epic Battle Fantasy 4 	1,666 	58 	95.52% 	96.64%
158. 	282140 	SOMA 	9,642 	405 	95.51% 	95.97%
159. 	1250 	Killing Floor 	47,303 	2,116 	95.51% 	95.72%
160. 	330830 	Tales from the Borderlands 	11,530 	494 	95.47% 	95.89%
161. 	201790 	Orcs Must Die! 2 	12,129 	525 	95.44% 	95.85%
162. 	12900 	Audiosurf 	8,407 	356 	95.44% 	95.94%
163. 	342560 	Airships: Conquer the Skies 	972 	31 	95.43% 	96.91%
164. 	362680 	Fran Bow 	2,663 	102 	95.42% 	96.31%
165. 	24980 	Mass Effect 2 	8,761 	374 	95.42% 	95.91%
166. 	22380 	Fallout: New Vegas 	47,386 	2,177 	95.40% 	95.61%
167. 	248310 	Freedom Planet 	3,066 	120 	95.40% 	96.23%
168. 	239820 	Game Dev Tycoon 	22,950 	1,035 	95.38% 	95.68%
169. 	8870 	BioShock Infinite 	63,124 	2,929 	95.38% 	95.57%
170. 	429660 	Tales of Berseria 	2,501 	96 	95.38% 	96.30%
171. 	405640 	Pony Island 	6,347 	268 	95.37% 	95.95%
172. 	260230 	Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™ 	13,253 	587 	95.36% 	95.76%
173. 	333600 	NEKOPARA Vol. 1 	11,744 	517 	95.36% 	95.78%
174. 	377860 	Mushihimesama 	628 	18 	95.36% 	97.21%
175. 	453340 	Hustle Cat 	385 	9 	95.33% 	97.72%
176. 	433340 	Slime Rancher 	10,443 	462 	95.31% 	95.76%
177. 	355980 	Dungeon Warfare 	436 	11 	95.29% 	97.54%
178. 	260750 	Neighbours from Hell 	1,007 	34 	95.26% 	96.73%
179. 	439490 	BLUE REVOLVER 	138 	1 	95.23% 	99.28%
180. 	282070 	This War of Mine 	29,004 	1,369 	95.22% 	95.49%
181. 	219890 	Antichamber 	10,349 	467 	95.22% 	95.68%
182. 	518580 	Accounting 	1,415 	52 	95.21% 	96.46%
183. 	305760 	Redirection 	99 	0 	95.17% 	100%
184. 	225080 	Brothers - A Tale of Two Sons 	26,185 	1,252 	95.15% 	95.44%
185. 	465520 	PRICE 	2,660 	109 	95.15% 	96.06%
186. 	4700 	Medieval II: Total War 	7,036 	316 	95.14% 	95.70%
187. 	78000 	Bejeweled 3 	2,015 	80 	95.13% 	96.18%
188. 	588650 	Dead Cells 	6,356 	284 	95.13% 	95.72%
189. 	250050 	Life Goes On 	446 	12 	95.12% 	97.38%
190. 	310360 	Higurashi When They Cry Hou - Ch.1 Onikakushi 	1,045 	37 	95.11% 	96.58%
191. 	282900 	Hyperdimension Neptunia Re;Birth1 	7,209 	329 	95.08% 	95.64%
192. 	237930 	Transistor 	17,041 	813 	95.08% 	95.45%
193. 	398850 	Epistory - Typing Chronicles 	1,106 	40 	95.08% 	96.51%
194. 	430960 	Lucy -The Eternity She Wished For- 	2,207 	90 	95.07% 	96.08%
195. 	589590 	Kindergarten 	873 	30 	95.06% 	96.68%
196. 	495890 	Montaro 	6,363 	289 	95.06% 	95.66%
197. 	541570 	Sally Face 	254 	5 	95.05% 	98.07%
198. 	204450 	Call of Juarez Gunslinger 	10,870 	511 	95.05% 	95.51%
199. 	348250 	Google Earth VR 	1,123 	41 	95.05% 	96.48%
200. 	255340 	Escape Goat 2 	281 	6 	95.04% 	97.91%
